name,partNumber,price,url
"
		Chevrolet Performance GM Goodwrench 350ci Crate Engine 195 HP (Can produce up to 260 HP)
	",809-12681429,"
$1,999.99
",https://www.jegs.com/i/Chevrolet-Performance/809/12681429/10002/-1
"
		Chevrolet Performance GM Goodwrench 350 Cast Iron Long Block Truck Engine
	",809-12681430,"
$2,749.99
",https://www.jegs.com/i/Chevrolet-Performance/809/12681430/10002/-1
"
		Chevrolet Performance GM Goodwrench 350ci Crate Engine 195 HP (Can produce up to 260 HP)
	",809-12681429,"
$1,999.99
",https://www.jegs.com//i/Chevrolet-Performance/809/12681429/10002/-1?NttInput=10067353
"
		Chevrolet Performance GM 5.7L 350 Long Block Cast Iron Truck Engine 1996-2002 Chevy/GMC Truck/SUV/Van
	",809-12681432,"
$1,999.99
",https://www.jegs.com/i/Chevrolet-Performance/809/12681432/10002/-1
"
		Chevrolet Performance GM 350ci/290 SBC V8 Base Crate Engine
	",809-19355658,"
$2,628.66
",https://www.jegs.com/i/Chevrolet-Performance/809/19355658/10002/-1
"
		Chevrolet Performance GM 5.7L 350 Long Block Cast Iron Truck Engine 1996-2002 Chevy/GMC Truck/SUV/Van
	",809-12681432,"
$1,999.99
",https://www.jegs.com//i/Chevrolet-Performance/809/12681432/10002/-1?NttInput=12530282
"
		Chevrolet Performance GM Goodwrench 350 Cast Iron Long Block Truck Engine
	",809-12681430,"
$2,749.99
",https://www.jegs.com//i/Chevrolet-Performance/809/12681430/10002/-1?NttInput=12568758
"
		Chevrolet Performance 5.7L/350ci L31 Long Block Crate Engine with Vortec Heads for GM Trucks/Vans
	",809-12681431,"
$2,250.99
",https://www.jegs.com/i/Chevrolet-Performance/809/12681431/10002/-1
name,partNumber,price,url
"
		Chevrolet Performance GM Goodwrench 350ci Crate Engine 195 HP (Can produce up to 260 HP)
	",809-12681429,"
$1,999.99
",https://www.jegs.com/i/Chevrolet-Performance/809/12681429/10002/-1
"
		Chevrolet Performance GM 5.7L 350 Long Block Cast Iron Truck Engine 1996-2002 Chevy/GMC Truck/SUV/Van
	",809-12681432,"
$1,999.99
",https://www.jegs.com//i/Chevrolet-Performance/809/12681432/10002/-1?NttInput=12530282
"
		Chevrolet Performance GM 350ci/290 SBC V8 Base Crate Engine
	",809-19355658,"
$2,628.66
",https://www.jegs.com/i/Chevrolet-Performance/809/19355658/10002/-1
"
		Chevrolet Performance GM 5.7L 350 Long Block Cast Iron Truck Engine 1996-2002 Chevy/GMC Truck/SUV/Van
	",809-12681432,"
$1,999.99
",https://www.jegs.com/i/Chevrolet-Performance/809/12681432/10002/-1
"
		Chevrolet Performance GM Goodwrench 350ci Crate Engine 195 HP (Can produce up to 260 HP)
	",809-12681429,"
$1,999.99
",https://www.jegs.com//i/Chevrolet-Performance/809/12681429/10002/-1?NttInput=10067353
"
		Chevrolet Performance 5.7L/350ci L31 Long Block Crate Engine with Vortec Heads for GM Trucks/Vans
	",809-12681431,"
$2,250.99
",https://www.jegs.com/i/Chevrolet-Performance/809/12681431/10002/-1
"
		Chevrolet Performance GM Goodwrench 350 Cast Iron Long Block Truck Engine
	",809-12681430,"
$2,749.99
",https://www.jegs.com//i/Chevrolet-Performance/809/12681430/10002/-1?NttInput=12568758
"
		Chevrolet Performance GM Goodwrench 350 Cast Iron Long Block Truck Engine
	",809-12681430,"
$2,749.99
",https://www.jegs.com/i/Chevrolet-Performance/809/12681430/10002/-1
